Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
Kocan Kadar Konus 2: Dirilis,2016,7+,104 min,"Comedias, Extranjeras, Románticas",Kıvanç Baruönü,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Nevra Serezli, Eda Ece",Turquía,5.8/10,Netflix
Kurtulus Son Durak,2012,13+,100 min,"Comedias, Dramas, Extranjeras",Yusuf Pirhasan,"Belçim Bilgin, Demet Akbağ, Asuman Dabak, Ayten Soykök, Damla Sönmez, Mete Horozoğlu, Ahmet Mümtaz Taylan, Yavuz Bingöl, Hüseyin Soysalan, Tolga Karaçelik, Nihal Yalçın",Turquía,6.2/10,Netflix
La hija del jefe,2015,13+,98 min,"Dramas, Extranjeras, Románticas",Olivier Loustau,"Christa Théret, Olivier Loustau, Florence Thomassin, Patrick Descamps, Stéphane Rideau, Pierre Berriau, Deborah Grall, Vincent Martinez",Francia,5.5/10,Netflix
Mucize,2015,13+,136 min,"Dramas, Extranjeras",Mahsun Kırmızıgül,"Talat Bulut, Mert Turak, Mahsun Kırmızıgül, Erdem Yener, Erol Demiröz, Ali Sürmeli, Meral Çetinkaya, Büşra Pekin",Turquía,7.7/10,Netflix
Niyazi Gül Dörtnala,2015,13+,102 min,"Comedias, Extranjeras",Hakan Algül,"Ata Demirer, Demet Akbağ, Şebnem Bozoklu, Levent Ülgen",Turquía,4.5/10,Netflix
Patron Mutlu Son Istiyor,2014,7+,105 min,"Comedias, Extranjeras, Románticas",Kıvanç Baruönü,"Tolga Çevik, Ezgi Mola, Murat Başoğlu, Erkan Can, Ersin Korkut, Mustafa Uzunyılmaz, Nusret Çetinel, Ayşenur Yazıcı",Turquía,6.1/10,Netflix
Romantik Komedi,2010,13+,110 min,"Comedias, Extranjeras, Románticas",Ketche,"Sedef Avcı, Cemal Hünal, Begüm Kütük, Engin Altan Düzyatan, Sinem Kobal, Gürgen Öz, Burcu Kara, Kubilay Penbeklioğlu",Turquía,5.3/10,Netflix
Romantik Komedi 2: Bekarlığa Veda,2013,13+,105 min,"Comedias, Extranjeras, Románticas",Erol Özlevi,"Sinem Kobal, Engin Altan Düzyatan, Sedef Avcı, Cemal Hünal, Burcu Kara, Gürgen Öz, Öykü Çelik, Gökçe Özyol",Turquía,5.2/10,Netflix
Sadece Sen,2014,16+,105 min,"Dramas, Extranjeras, Románticas",Hakan Yonat,"Belçim Bilgin, İbrahim Çelikkol, Kerem Can, Necmi Yapıcı, Levent Sülün, Barış Arduç, Erol Gedik, Cezmi Baskın",Turquía,7.3/10,Netflix
Sen Kimsin?,2012,13+,102 min,"Comedias, Extranjeras",Ozan Açıktan,"Tolga Çevik, Köksal Engür, Pelin Körmükçü, Toprak Sergen, Zeynep Özder",Turquía,5.0/10,Netflix
The Butterfly's Dream,2013,13+,118 min,"Dramas, Extranjeras, Románticas",Yılmaz Erdoğan,"Kıvanç Tatlıtuğ, Mert Fırat, Belçim Bilgin, Farah Zeynep Abdullah, Yılmaz Erdoğan, Ahmet Mümtaz Taylan, Taner Birsel, Selman Ünlüsoy, İpek Bilgin, Aksel Bonfil, Devrim Yakut, Salih Kalyon",Turquía,7.8/10,Netflix
Vizontele,2001,7+,106 min,"Comedias, Dramas, Extranjeras","Yılmaz Erdoğan, Ömer Faruk Sorak","Yılmaz Erdoğan, Demet Akbağ, Altan Erkekli, Cem Yılmaz, Cezmi Baskın, Bican Günalan, Sebnem Sönmez, İclal Aydın, Mesut Çakarli, Zeynep Tokuş",Turquía,8.0/10,Netflix
Vizontele Tuuba,2004,13+,106 min,"Comedias, Dramas, Extranjeras",Yılmaz Erdoğan,"Yılmaz Erdoğan, Tarık Akan, Altan Erkekli, Cezmi Baskın, İclal Aydın, Demet Akbağ, Tuba Ünsal, Tolga Çevik",Turquía,6.5/10,Netflix
The Young Offenders,2016,13+,83 min,"Comedias, Extranjeras",Peter Foott,"Alex Murphy, Chris Walley, Hilary Rose, Dominic MacHale, P.J. Gallagher, Shane Casey, Pascal Scott, Michael Sands, Ciaran Bermingham",Irlanda,7.1/10,Netflix
Thithi,2015,7+,123 min,"Dramas, Extranjeras, Independientes",Raam Reddy,"Thammegowda S., Channegowda, Abhishek H.N., Pooja, Singri Gowda","India, Estados Unidos",8.2/10,Netflix
Amy Schumer: The Leather Special,2017,16+,57 min,Películas,Amy Schumer,Amy Schumer,Estados Unidos,2.9/10,Netflix
