Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
Retratos del feminismo,2018,13+,86 min,Documentales,Johanna Demetrakas,NA,Estados Unidos,6.9/10,Netflix
Tarzán y Jane,2018,7+,2 temporadas,"Infantiles, Policiacas",NA,"Marci T. House, Michael Dobson, Omari Newton, Paul Dobson, Rebecca Shoichet, Giles Panton, Kathleen Barr, Doron Bell",,4.7/10,Netflix
The Curious Creations of Christine McConnell,2018,7+,1 temporada,"Comedias, Estadounidenses, Realities y talk shows",NA,"Christine McConnell, Colleen Smith, Adam Mayfield, Michael Oosterom, Drew Massey, Mick Ignis, Tim Lagasse, Dita von Teese, Steven M. Porter, Elko Weaver",Estados Unidos,7.7/10,Netflix
"Sal, grasa, ácido, calor",2018,TODOS LO,1 temporada,"Docuseries, Estadounidenses",NA,Samin Nosrat,,7.7/10,Netflix
22 de julio,2018,16+,144 min,"Dramas, Thrillers",Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Noruega, Islandia, Estados Unidos",6.8/10,Netflix
Cien años de perdón,2016,13+,93 min,"Españolas, Extranjeras, Thrillers",Daniel Calparsoro,"Luis Tosar, Rodrigo de la Serna, Raúl Arévalo, José Coronado, Patricia Vico, Joaquín Furriel, Luciano Cáceres, Marian Álvarez, Luis Callejo","España, Argentina, Francia",6.3/10,Netflix
Pacto de sangre,2018,16+,1 temporada,"Dramas, Extranjeras, Policiacas",NA,"Guilherme Fontes, Ravel Cabral, Jonathan Haagensen, André Ramiro, Adriano Garib, Mel Lisboa, Cristina Lago",Brasil,6.8/10,Netflix
Mo Amer: The Vagabond,2018,13+,57 min,Películas,Stan Lathan,Mo Amer,Estados Unidos,7.3/10,Netflix
Pulang,2018,13+,119 min,"Acción, Dramas, Extranjeras",Kabir Bhatia,"Puteri Aishah, Remy Ishak, Alvin Wong",Malasia,6.7/10,Netflix
Dancing Queen,2018,7+,1 temporada,"Estadounidenses, Realities y talk shows",NA,"Justin ""Alyssa Edwards"" Johnson",,7.0/10,Netflix
La canción perdida,2018,13+,1 temporada,"Anime, Extranjeras",NA,"Konomi Suzuki, Yukari Tamura, Misaki Kuno, Chiaki Takahashi, Seiichiro Yamashita, Asami Seto, Yu Serizawa, Ai Kayano, Tsuyoshi Koyama, Yuto Suzuki, Mitsuru Ogata, Hiroshi Ito",Japón,7.2/10,Netflix
Los Supermonstruos salvan Halloween,2018,TODOS LO,25 min,Para toda la familia,NA,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr",,5.4/10,Netflix
Malevolent,2018,16+,89 min,"Terror, Thrillers",Olaf de Fleur,"Florence Pugh, Ben Lloyd-Hughes, Celia Imrie, James Cosmo, Scott Chambers, Georgina Bevan",Reino Unido,4.8/10,Netflix
Vida privada,2018,13+,124 min,"Comedias, Dramas, Independientes",Tamara Jenkins,"Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon, John Carroll Lynch, Denis O'Hare, Desmin Borges, Tracee Chimo, Siobhan Fallon Hogan, Emily Robinson",Estados Unidos,7.2/10,Netflix
YG Future Strategy Office,2018,13+,1 temporada,"Comedias, Extranjeras",NA,"Seungri, Yoo Byung Jae, Lee Jai-jin, Jinu, Son Se-bin, Kim Ga-eun, Park Choong-hwan, Baek Yeong-gwang, Choi Sin-deuk",Corea del Sur,7.1/10,Netflix
Violet Evergarden: Special,2018,7+,1 temporada,"Anime, Extranjeras, Románticas",NA,"Yui Ishikawa, Takehito Koyasu, Daisuke Namikawa, Aya Endo, Kouki Uchiyama, Minori Chihara, Haruka Tomatsu, Yoko Hikasa",Japón,NA,Netflix
Bareilly Ki Barfi,2017,7+,110 min,"Comedias, Dramas, Extranjeras",Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Seema Pahwa, Rohit Chaudhury, Swati Semwal",India,7.5/10,Netflix
Mersal,2017,16+,162 min,"Acción, Dramas, Extranjeras",Atlee Kumar,"Joseph Vijay, S.J. Surya, Kajal Aggarwal, Samantha Ruth Prabhu, Nithya Menon, Vadivelu, Sathyaraj",India,7.6/10,Netflix
Mom,2017,16+,139 min,"Dramas, Extranjeras, Premiadas",Ravi Udyawar,"Sridevi, Akshaye Khanna, Sajal Ali, Nawazuddin Siddiqui, Adnan Siddiqui, Pitobash, Abhimanyu Singh, Vikas Verma",India,7.3/10,Netflix
Naam Shabana,2017,13+,141 min,"Acción, Extranjeras",Shivam Nair,"Tapsee Pannu, Akshay Kumar, Manoj Bajpayee, Prithviraj Sukumaran, Danny Denzongpa, Anupam Kher, Zakir Hussain, Virendra Saxenda",India,6.3/10,Netflix
No dormirás,2018,13+,106 min,"Españolas, Terror, Thrillers",Gustavo Hernández,"Belén Rueda, Eva De Dominici, Natalia de Molina, Germán Palacios, Eugenia Tobal, Juan Manuel Guilera, María Zabay, Miguel Angel Maciel, María Alfonsa Rosso",NA,NA,Netflix
Operation Finale,2018,16+,124 min,"Dramas, Thrillers",Chris Weitz,"Oscar Isaac, Ben Kingsley, Lior Raz, Mélanie Laurent, Nick Kroll, Joe Alwyn, Haley Lu Richardson, Michael Aronov, Peter Strauss, Ohad Knoller, Torben Liebrecht, Greta Scacchi, Pepe Rapazote",Estados Unidos,6.6/10,Netflix
Pad Man,2018,13+,130 min,"Dramas, Extranjeras, Premiadas",R. Balki,"Akshay Kumar, Sonam Kapoor, Radhika Apte, Jyoti Subhash, Urmila Mahanta, Suneel Sinha, Sanjay Singh, Rakesh Chaturvedi Om",India,7.9/10,Netflix
Paheli,2005,13+,134 min,"Ciencia ficción y fantásticas, Dramas, Extranjeras",Amol Palekar,"Shah Rukh Khan, Rani Mukerji, Anupam Kher, Dilip Prabhavalkar, Amitabh Bachchan, Juhi Chawla, Nina Kulkarni, Rajpal Yadav",India,6.5/10,Netflix
Qarib Qarib Singlle,2017,7+,120 min,"Comedias, Extranjeras, Románticas",Tanuja Chandra,"Irrfan Khan, Parvathy, Neha Dhupia, Pushtii Shakti, Luke Kenny, Siddharth Menon, Bajrangbali Singh, Brijendra Kala",India,7.1/10,Netflix
Toilet: Ek Prem Katha,2017,13+,145 min,"Comedias, Dramas, Extranjeras",Shree Narayan Singh,"Akshay Kumar, Bhumi Pednekar, Divyendu Sharma, Atul Srivastava, Anupam Kher, Ayesha Raza Mishra, Mukesh S Bhatt, Shubha Khote, Sudhir Pandey",India,7.2/10,Netflix
Joe Rogan: Strange Times,2018,16+,64 min,Películas,Anthony Giordano,Joe Rogan,,7.4/10,Netflix
El bar,2017,16+,102 min,"Comedias, Españolas, Extranjeras",Álex de la Iglesia,"Blanca Suárez, Mario Casas, Carmen Machi, Secun de la Rosa, Jaime Ordoñez, Terele Pávez, Joaquín Climent, Alejandro Awada","España, Argentina",6.3/10,Netflix
"Rudy, reto a la gloria",1993,7+,114 min,"Dramas, Para toda la familia",David Anspaugh,"Sean Astin, Jon Favreau, Ned Beatty, Greta Lind, Scott Benjaminson, Mary Ann Thebus, Charles S. Dutton, Lili Taylor, Christopher Reed, Deborah Wittenberg, Christopher Erwin",Estados Unidos,7.5/10,Netflix
Salvation,2018,13+,2 temporadas,"Ciencia ficción y fantásticas, Dramas, Estadounidenses",NA,"Santiago Cabrera, Jennifer Finnigan, Charlie Rowe, Jacqueline Byers, Rachel Drance, Shazi Raja, Ian Anthony Dale, Erica Luttrell, Josette Jorge",Estados Unidos,7.0/10,Netflix
Paradise Lost,2018,13+,111 min,"Dramas, Extranjeras, Independientes",Monique Gardenberg,"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli",Brasil,6.9/10,Netflix
Dos Cataluñas,2018,13+,117 min,"Documentales, Españolas, Extranjeras","Álvaro Longoria, Gerardo Olivares",NA,España,6.4/10,Netflix
El tercer ojo,2018,16+,108 min,"Extranjeras, Terror",Rocky Soraya,"Jessica Mila, Denny Sumargo, Citra Prima, Bianca Hello, Epy Kusnandar, Anita Hara, Derry Drajat, Voke Victoria, Shofia Shireen, Afdhal Yusman",Indonesia,5.1/10,Netflix
Lecciones de una masacre en la escuela: Cartas desde Dunblane,2018,13+,24 min,"Documentales, Premiadas",Kim A. Snyder,NA,Estados Unidos,5.9/10,Netflix
Made in Mexico,2018,7+,1 temporada,"Estadounidenses, Extranjeras, Realities y talk shows",NA,NA,Estados Unidos,4.0/10,Netflix
Noche de lobos,2018,16+,126 min,"Acción, Dramas",Jeremy Saulnier,"Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough, Julian Black Antelope, Tantoo Cardinal, Macon Blair, Jonathan Whitesell, Peter McRobbie",Estados Unidos,5.6/10,Netflix
Reinicio: El código del guardián,2018,7+,2 temporadas,Infantiles,NA,"Ty Wood, Sydney Scotia, Ajay Friese, Gabriel Darku, Hannah Vandenbygaart, Timothy E. Brummund, Bob Frazer, Octavian Kaul, Nicholas Lea, Kirsten Robek, Alex Zahara",Canadá,3.7/10,Netflix
Skylanders Academy,2018,7+,3 temporadas,"Comedias, Infantiles",NA,"Justin Long, Ashley Tisdale, Jonathan Banks, Chris Diamantopoulos, Bobcat Goldthwait, Richard Steven Horvitz, Norm MacDonald, Daniel Middleton, Catherine O'Hara, Parker Posey, Jonny Rees, Jason Ritter, Susan Sarandon, Harland Williams, Daniel Wu, Dee Bradley Baker, Chris Cox, Jim Cummings, Felicia Day, John DiMaggio, Grey Griffin","Corea del Sur, Estados Unidos",6.5/10,Netflix
Somewhere Between,2017,13+,1 temporada,"Dramas, Estadounidenses, Policiacas",NA,"Paula Patton, Devon Sawa, JR Bourne, Aria Birch, Catherine Barroll, Samantha Ferris, Imogen Tear, Daniel Bacon, Carmel Amit, Noel Johansen, Rebecca Staab",Estados Unidos,6.2/10,Netflix
"Code Geass: Lelouch, el de la rebelión",2008,13+,2 temporadas,"Anime, Extranjeras",NA,"Jun Fukuyama, Takahiro Sakurai, Yukana, Ami Koshimizu, Kaori Nazuka, Fumiko Orikasa, Sayaka Ohara, Noriaki Sugiyama, Takahiro Mizushima, Soichiro Hoshi, Yuko Goto",Japón,8.6/10,Netflix
Mobile Suit Gundam UC,2014,13+,1 temporada,"Anime, Extranjeras",NA,"Kouki Uchiyama, Ayumi Fujimura, Hiro Shimono, Haruka Tomatsu, Daisuke Namikawa, Megumi Toyoguchi, Yuhko Kaida, Shuichi Ikeda, Tetsuya Kakihara",Japón,7.8/10,Netflix
Battlefish,2018,13+,1 temporada,"Acción, Estadounidenses, Realities y talk shows",NA,NA,,7.2/10,Netflix
Desmelenada,2018,13+,99 min,"Comedias, Dramas, Románticas",Haifaa Al-Mansour,"Sanaa Lathan, Ricky Whittle, Lynn Whitfield, Lyriq Bent, Ernie Hudson",Estados Unidos,6.4/10,Netflix
Hilda,2018,7+,1 temporada,Infantiles,NA,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","Reino Unido, Canadá, Estados Unidos",8.6/10,Netflix
Hisone y Masotan: A lomos del dragón,2018,13+,1 temporada,"Anime, Extranjeras",NA,"Misaki Kuno, Tomoyo Kurosawa, Maki Kawase, Satomi Arai, Kaori Nazuka, Romi Park, Yuki Kaji, Yukitoshi Tokumoto, Rie Kugimiya, Junichi Suwabe, Jouji Nakata",Japón,6.9/10,Netflix
Maniac,2018,16+,1 temporada,"Comedias, Dramas, Estadounidenses",NA,"Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke",Estados Unidos,7.8/10,Netflix
Quincy,2018,7+,124 min,"Documentales, Música y musicales, Premiadas","Rashida Jones, Alan Hicks",Quincy Jones,Estados Unidos,7.6/10,Netflix
Rafinha Bastos: Ultimato,2018,13+,63 min,Películas,NA,Rafinha Bastos,Brasil,6.5/10,Netflix
The Good Cop,2018,13+,1 temporada,"Comedias, Dramas, Estadounidenses",NA,"Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.",Estados Unidos,7.0/10,Netflix
Cabins in the Wild with Dick Strawbridge,2017,TODOS LO,1 temporada,"Británicas, Extranjeras, Realities y talk shows",NA,"Dick Strawbridge, William Hardie",Reino Unido,6.8/10,Netflix
"La masonería: Pasado, presente y futuro",2017,7+,1 temporada,"Británicas, Docuseries, Extranjeras",NA,NA,Reino Unido,5.4/10,Netflix
Las aventuras de Chuck y sus amigos,2010,TODOS LO,1 temporada,Infantiles,NA,"Gabriel Giammaria, Stacey DePass, Fab Filippo, Dale Yim, Gabriel Giuliani, Joanne Vannicola, Darren Frost, Lauren Holly, Lyon Smith","Estados Unidos, Canadá",5.6/10,Netflix
Libre de hipotecas con Sarah Beeny,2018,7+,1 temporada,"Británicas, Extranjeras, Realities y talk shows",NA,NA,NA,NA,Netflix
My Little Pony: La magia de la amistad,2015,TODOS LO,5 temporadas,Infantiles,NA,"Ashleigh Ball, Tabitha St. Germain, Tara Strong, Andrea Libman, Cathy Weseluck, Nicole Oliver","Estados Unidos, Canadá",7.6/10,Netflix
Three Wives One Husband,2018,TODOS LO,1 temporada,"Británicas, Extranjeras, Realities y talk shows",NA,NA,Reino Unido,6.5/10,Netflix
American Vandal,2018,16+,2 temporadas,"Comedias, Estadounidenses, Juveniles",NA,"Tyler Alvarez, Griffin Gluck, Jimmy Tatro, Camille Hyde, Lou Wilson, Eduardo Franco, Jessica Juarez, Camille Ramsey, Calum Worthy, G. Hannelius, Karly Rothenberg",Estados Unidos,8.2/10,Netflix
Bleach,2018,13+,109 min,"Acción, Ciencia ficción y fantásticas, Extranjeras",Shinsuke Sato,"Sota Fukushi, Hana Sugisaki, Ryo Yoshizawa, Erina Mano, Yu Koyanagi, Seiichi Tanabe, Taichi Saotome, Miyavi, Masami Nagasawa, Yosuke Eguchi",Japón,6.4/10,Netflix
Boca Juniors Confidencial,2018,7+,1 temporada,"Docuseries, Extranjeras",NA,NA,,6.4/10,Netflix
La tierra de las buenas costumbres,2018,16+,98 min,"Comedias, Dramas, Independientes",Nicole Holofcener,"Ben Mendelsohn, Edie Falco, Connie Britton, Thomas Mann, Bill Camp, Elizabeth Marvel, Charlie Tahan, Michael Gaston, Josh Pais",Estados Unidos,6.2/10,Netflix
Norm Macdonald Has a Show,2018,13+,1 temporada,"Comedias, Estadounidenses, Realities y talk shows",NA,NA,Estados Unidos,8.7/10,Netflix
Supermonstruos: Una fiesta monstruosa,2018,TODOS LO,1 temporada,Infantiles,NA,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",,NA,Netflix
The Angel,2018,13+,114 min,"Dramas, Extranjeras, Thrillers",Ariel Vromen,"Marwan Kenzari, Hannah Ware, Toby Kebbell, Waleed Zuaiter, Maisa Abd Elhadi, Sasson Gabai, Mickey Leon, Ori Pfeffer, Slimane Dazi","Israel, Estados Unidos",6.6/10,Netflix
Caso Roe: El aborto en los EE. UU.,2018,16+,100 min,Documentales,NA,"Ricki Stern, Annie Sundberg",Estados Unidos,7.4/10,Netflix
Super Wings,2017,TODOS LO,2 temporadas,Infantiles,NA,"Luca Padovan, Evan Smolin, Junah Jang, Colin Critchley","Estados Unidos, Corea del Sur, China",6.2/10,Netflix
En mi propia piel,2018,16+,100 min,"Dramas, Extranjeras, Premiadas",Alessio Cremonini,"Alessandro Borghi, Jasmine Trinca, Milvia Marigliano, Max Tortora",Italia,7.3/10,Netflix
Daniel Sloss: Live Shows,2018,16+,1 temporada,"Comedias, Estadounidenses, Monólogos de humoristas",NA,Daniel Sloss,Estados Unidos,8.6/10,Netflix
El banquero de la resistencia,2018,16+,123 min,"Dramas, Extranjeras",Joram Lürsen,"Barry Atsma, Jacob Derwig, Pierre Bokma, Jaap Spijkers, Raymond Thiry, Fockeline Ouwerkerk, Matteo van der Grijn, Jochum ten Haaf, Peter Jordan, Götz Schubert",Países Bajos,6.9/10,Netflix
Transformers Prime,2013,7+,1 temporada,Infantiles,NA,"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle",Estados Unidos,7.9/10,Netflix
City of Joy,2018,16+,77 min,Documentales,Madeleine Gavin,NA,"Estados Unidos, ",7.4/10,Netflix
First and Last,2018,13+,1 temporada,"Docuseries, Estadounidenses",NA,NA,,6.8/10,Netflix
La mujer más asesinada del mundo,2018,16+,102 min,"Dramas, Extranjeras, Thrillers",Franck Ribière,"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Bélgica, Reino Unido, Estados Unidos",5.3/10,Netflix
La nueva generación,2018,7+,106 min,"Ciencia ficción y fantásticas, Comedias, Para toda la familia","Kevin R. Adams, Joe Ksander","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canadá, Estados Unidos",6.6/10,Netflix
Sierra Burgess es una perdedora,2018,7+,106 min,"Comedias, Románticas",Ian Samuels,"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",Estados Unidos,5.8/10,Netflix
Stretch Armstrong & the Flex Fighters,2018,7+,2 temporadas,Infantiles,NA,"Scott Menville, Steven Yeun, Ogie Banks, Wil Wheaton, Keith David, Miguel Ferrer, David Kaye, Kate Mulgrew, Nazneen Contractor, Felicia Day",Estados Unidos,6.4/10,Netflix
Littlest Pet Shop,2014,TODOS LO,1 temporada,Infantiles,NA,"Ashleigh Ball, Sam Vincent, Peter New, Kyle Rideout, Tabitha St. Germain, Kira Tozer, Nicole Oliver, Jocelyne Loewen, Kathleen Barr, Shannon Chan-Kent, Michael Kopsa","Estados Unidos, Canadá",6.1/10,Netflix
The Debt Collector,2018,16+,96 min,Acción,Jesse V. Johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd","Reino Unido, Estados Unidos",5.8/10,Netflix
Historia taiwanesa de dos ciudades,2018,13+,1 temporada,"Dramas, Extranjeras",NA,"Tammy Chen, James Wen, Peggy Tseng, Denny Huang",Taiwán,6.5/10,Netflix
Monkey Twins,2018,16+,1 temporada,"Acción, Extranjeras, Policiacas",NA,"Phakin Khamwilaisak, Sumret Muengput, Alisa Kunkwaeng, Zozeen Panyanut Jirarottanakasem, Akarat Nimitchai, Warawut Poyim, Vithaya Pansringarm, Phutharit Prombandal, Kazu Patrick Tang",Tailandia,7.7/10,Netflix
28 días,2000,16+,104 min,"Comedias, Dramas",Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Diane Ladd, Elizabeth Perkins, Steve Buscemi, Alan Tudyk, Mike O'Malley, Azura Skye, Reni Santoni, Marianne Jean-Baptiste",Estados Unidos,6.1/10,Netflix
Anacondas: La cacería por la orquídea sangrienta,2004,16+,97 min,"Acción, Terror",Dwight H. Little,"Johnny Messner, KaDee Strickland, Matthew Marsden, Nicholas Gonzalez, Eugene Byrd, Karl Yune, Salli Richardson-Whitfield, Morris Chestnut, Andy Anderson, Nicholas Hope, Peter Curtin, Denis Arndt","Estados Unidos, Australia",4.7/10,Netflix
Barça Dreams,2015,7+,122 min,"Documentales, Españolas, Extranjeras",Jordi Llompart,"Johan Cruyff, Andrés Iniesta, Gary Lineker, Xavi Hernández, Lionel Messi, Pau Gasol",España,7.2/10,Netflix
Carbon,2017,16+,104 min,"Dramas, Extranjeras, Thrillers",Olivier Marchal,"Benoît Magimel, Gringe, Idir Chender, Laura Smet, Michaël Youn, Dani, Patrick Catalifo, Gérard Depardieu","Francia, Bélgica",6.5/10,Netflix
En busca del arca perdida,1981,13+,116 min,"Acción, Clásicas, Para toda la familia",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey, John Rhys-Davies, Denholm Elliott, Alfred Molina, Wolf Kahler, Anthony Higgins, Vic Tablian",Estados Unidos,8.4/10,Netflix
La terminal,2004,13+,129 min,"Comedias, Dramas, Románticas",Steven Spielberg,"Tom Hanks, Catherine Zeta-Jones, Stanley Tucci, Chi McBride, Diego Luna, Barry Shabaka Henley, Kumar Pallana, Zoe Saldana, Eddie Jones, Jude Ciccolella",Estados Unidos,7.4/10,Netflix
Sisters,2018,16+,1 temporada,"Comedias, Dramas, Extranjeras",NA,"Lucy Durack, Antonia Prebble, Maria Angelico, Dan Spielman, Charlie Garber, Lindsay Farris, Zindzi Okenyo, Catherine McClements, Roy Billing, Magda Szubanski",Australia,7.6/10,Netflix
Sparring,2017,7+,94 min,"Dramas, Extranjeras",Samuel Jouy,"Mathieu Kassovitz, Olivia Merilahti, Souleymane M'Baye, Billie Blain, Malik Bine, Zakariya Gouram, Jolente De Keersmaeker, Lyes Salem, Ali Labidi, David Saracino",Francia,6.3/10,Netflix
Un funeral de muerte,2010,13+,93 min,Comedias,Neil LaBute,"Chris Rock, Martin Lawrence, Tracy Morgan, Danny Glover, James Marsden, Luke Wilson, Zoe Saldana, Regina Hall, Columbus Short, Peter Dinklage, Leslie Rivers, Kevin Hart, Loretta Devine, Regine Nehy, Keith David, Alexander Folk, Jamison Yang, Bob Minor, Ron Glass",Estados Unidos,5.7/10,Netflix
Inside the Criminal Mind,2018,16+,1 temporada,"Docuseries, Extranjeras, Policiacas",NA,NA,"Estados Unidos, República Checa",5.4/10,Netflix
La catedral del mar,2017,16+,1 temporada,"Dramas, Españolas, Extranjeras",NA,"Daniel Grao, Ginés García Millán, Óscar Hernández, Alain Hernández, Nora Navas, Lucía Díez, Jorge Kent, Ali El Aziz, Julia Carnero, David Venancio Muro, Jonás Beramí, Hugo Arbues, Natalia de Molina",España,7.5/10,Netflix
Las leyes de la termodinámica,2018,13+,100 min,"Comedias, Españolas, Extranjeras",Mateo Gil,"Vito Sanz, Berta Vázquez, Chino Darín, Vicky Luengo, Andrea Ros, Irene Escolar, Josep Maria Pou, Daniel Sánchez Arévalo",España,6.1/10,Netflix
The Comedy Lineup,2018,13+,2 temporadas,"Comedias, Estadounidenses, Monólogos de humoristas",NA,"Michelle Buteau, Ian Karmel, Taylor Tomlinson, Sam Jay, Phil Wang, Sabrina Jalees, Jak Knight, Tim Dillon",Estados Unidos,5.8/10,Netflix
Ultimate Beastmaster,2018,7+,3 temporadas,"Estadounidenses, Realities y talk shows",NA,"Tiki Barber, Chris Distefano, Francesco Facchinetti, Bianca Balti, Vidyut Jammwal, Sarah-Jane Dias, Bin Gu, Qinyi Du, Paula Vázquez, Saúl Craviotto, Gilles Marini, Sandy Heribert, Terry Crews, Charissa Thompson, Yuji Kondo, Sayaka Akimoto, Luke Mockridge, Hans Sarpei, Kyung-seok Seo, Kyeong-rim Park, Luis Ernesto Franco, Inés Sainz, Rafinha Bastos, Anderson Silva, Sylvester Stallone","Estados Unidos, Brasil, Corea del Sur, México, Japón, Alemania",7.3/10,Netflix
Ultimate Beastmaster México,2018,7+,3 temporadas,"Estadounidenses, Realities y talk shows",NA,"Luis Ernesto Franco, Inés Sainz, Tiki Barber, Chris Distefano, Francesco Facchinetti, Bianca Balti, Vidyut Jammwal, Sarah-Jane Dias, Bin Gu, Qinyi Du, Paula Vázquez, Saúl Craviotto, Gilles Marini, Sandy Heribert, Terry Crews, Charissa Thompson, Yuji Kondo, Sayaka Akimoto, Luke Mockridge, Hans Sarpei, Kyung-seok Seo, Kyeong-rim Park, Rafinha Bastos, Anderson Silva, Sylvester Stallone","Estados Unidos, Brasil, Corea del Sur, México, Japón, Alemania",NA,Netflix
3 chicas y 1 chat,2014,16+,99 min,"Dramas, Extranjeras",Philip Yung,"Irene Wan, Peter Mak, Rainky Wai, Heidi Lee, Kabby Hui, Paulyn Sun, Dominic Ho, Au Cheuk-Man",Hong Kong,5.0/10,Netflix
Bert Kreischer: Secret Time,2018,13+,57 min,Películas,Todd Biermann,Bert Kreischer,,7.4/10,Netflix
El poder de Grayskull: La historia completa de He-Man y los Masters del Universo,2017,TODOS LO,96 min,Documentales,"Randall Lobb, Robert McCallum",NA,"Canadá, Estados Unidos",6.8/10,Netflix
Gul,2018,16+,1 temporada,"Dramas, Extranjeras, Terror",Patrick Graham,"Radhika Apte, Manav Kaul, Ratnabali Bhattacharjee, Mahesh Balraj",India,7.1/10,Netflix
The After Party,2018,13+,90 min,"Comedias, Música y musicales",Ian Edelman,"Kyle Harvey, Harrison Holzer, Teyana Taylor, Shelley Hennig, Wiz Khalifa, Blair Underwood, Jordan Rock, Amin Joseph, Andy Buckley, Jamie Choi",Estados Unidos,5.8/10,Netflix
The Innocents,2018,13+,1 temporada,"Británicas, Ciencia ficción y fantásticas, Dramas",NA,"Sorcha Groundsell, Percelle Ascott, Guy Pearce, Sam Hazeldine, Nadine Marshall, Jóhannes Haukur Jóhannesson, Laura Birn, Ingunn Beate Øyen, Arthur Hughes, Trond Fausa, Lise Risom Olsen, Philip Wright",Reino Unido,6.3/10,Netflix
Elephants Dream 4 Hour,2006,TODOS LO,196 min,"Ciencia ficción y fantásticas, Extranjeras",Bassam Kurdali,"Cas Jansen, Tygo Gernandt",Países Bajos,5.7/10,Netflix
Marlon,2018,7+,2 temporadas,"Comedias, Estadounidenses",NA,"Marlon Wayans, Essence Atkins, Bresha Webb, Diallo Riddle, Notlim Taylor, Amir O'Neil",Estados Unidos,7.0/10,Netflix
Prueba de actitud,2016,13+,88 min,"Comedias, Extranjeras, Independientes","Fabrizio Copano, Augusto Matte","Belén Soto, Denise Rosenthal, Constanza Piccoli, Fabiola Alarcón, Lucas Balmaceda, Agustín Silva, Camilo Carmona, Ingrid Cruz, Elvis Fuentes, Samuel Landea",Chile,2.4/10,Netflix
A todos los chicos de los que me enamoré,2018,7+,100 min,"Comedias, Extranjeras, Románticas",Susan Johnson,"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, Andrew Bachelor, Trezzo Mahoro, Madaleine Arthur, Israel Broussard, Emilija Baranac, John Corbett",Estados Unidos,7.1/10,Netflix
Big Fish & Begonia,2018,13+,105 min,"Acción, Anime, Ciencia ficción y fantásticas","Liang Xuan, Zhang Chun","Stephanie Sheh, Guanlin Ji, Johnny Yong Bosch, Shangqing Su, JB Blanc, Todd Haberkorn, Timmy Xu, Greg Chun, Zhang Jie",China,7.1/10,Netflix
El autor,2017,13+,114 min,"Comedias, Dramas, Españolas",Manuel Martín Cuenca,"Javier Gutiérrez, María León, Adelfa Calvo, Adriana Paz, Tenoch Huerta, Rafael Téllez, Antonio de la Torre","España, México",6.5/10,Netflix
Rey de la fiesta: Rayando la superficie,2018,7+,33 min,Comedias,NA,"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane, Jon Hamm, Bobby Moynihan, Lauren Adams, Sara Chase, Sol Miranda, Derek Klena, Aidy Bryant",Estados Unidos,7.0/10,Netflix
Stay Here,2018,7+,1 temporada,"Estadounidenses, Realities y talk shows",NA,"Genevieve Gorder, Peter Lorimer",Estados Unidos,7.5/10,Netflix
Yoo Byung Jae: Discomfort Zone,2018,13+,54 min,Películas,Y. Joon Chung,Yoo Byung Jae,Corea del Sur,5.0/10,Netflix
Becoming Champions,2018,TODOS LO,1 temporada,"Docuseries, Extranjeras",NA,NA,México,6.7/10,Netflix
